발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster
1609460047580,"63 km N of Hatillo, Puerto Rico",reviewed,0,152,earthquake,3.14, Puerto Rico,-66.8555,19.0631,8.0,2021-01-01 00:14:07.580000+00:00,1
1609461635586,southern Mid-Atlantic Ridge,reviewed,0,432,earthquake,5.3,southern Mid-Atlantic Ridge,-4.7622,-52.2909,10.0,2021-01-01 00:40:35.586000+00:00,0
1609463742680,"9 km SSE of Maria Antonia, Puerto Rico",reviewed,0,140,earthquake,3.01, Puerto Rico,-66.854,17.9015,12.0,2021-01-01 01:15:42.680000+00:00,1
1609464009649,Kermadec Islands region,reviewed,0,385,earthquake,5.0,Kermadec Islands region,-177.9341,-31.3191,10.0,2021-01-01 01:20:09.649000+00:00,0
1609464204836,"19 km N of Stanton, Texas",reviewed,0,148,earthquake,3.1, Texas,-101.7982,32.3019,5.0,2021-01-01 01:23:24.836000+00:00,1
1609465851107,"Izu Islands, Japan region",reviewed,0,298,earthquake,4.4, Japan region,142.0702,30.611,10.0,2021-01-01 01:50:51.107000+00:00,0
1609472812529,southeast of the Loyalty Islands,reviewed,0,312,earthquake,4.5,southeast of the Loyalty Islands,172.6015,-23.0784,10.0,2021-01-01 03:46:52.529000+00:00,0
1609473322647,"4 km N of Rododáfni, Greece",reviewed,0,284,earthquake,4.3, Greece,22.056,38.3055,10.0,2021-01-01 03:55:22.647000+00:00,0
1609473917129,"171 km SSW of Tomohon, Indonesia",reviewed,0,312,earthquake,4.5, Indonesia,124.442,-0.1874,61.99,2021-01-01 04:05:17.129000+00:00,2
1609478766861,"15 km SSW of Stanley, Idaho",reviewed,0,235,earthquake,3.9, Idaho,-114.9812,44.0808,3.0,2021-01-01 05:26:06.861000+00:00,1
1609478881164,"89 km ESE of Sand Point, Alaska",reviewed,0,148,earthquake,3.1, Alaska,-159.261,54.957,17.78,2021-01-01 05:28:01.164000+00:00,1
1609482332573,Kermadec Islands region,reviewed,0,312,earthquake,4.5,Kermadec Islands region,-176.5878,-29.5276,10.0,2021-01-01 06:25:32.573000+00:00,0
1609483281082,Kermadec Islands region,reviewed,0,271,earthquake,4.2,Kermadec Islands region,-177.3427,-28.343,11.02,2021-01-01 06:41:21.082000+00:00,0
1609485179260,"65 km NE of Cruz Bay, U.S. Virgin Islands",reviewed,0,188,earthquake,3.5, U.S. Virgin Islands,-64.3525,18.7418,32.0,2021-01-01 07:12:59.260000+00:00,1
1609487130320,"81 km NNW of San Antonio, Puerto Rico",reviewed,0,158,earthquake,3.2, Puerto Rico,-67.3353,19.1905,25.0,2021-01-01 07:45:30.320000+00:00,1
1609488510850,"4 km SSW of Indios, Puerto Rico",reviewed,0,145,earthquake,3.07, Puerto Rico,-66.8393,17.9556,10.0,2021-01-01 08:08:30.850000+00:00,1
1609489460500,"54 km WSW of Stella, Puerto Rico",reviewed,0,177,earthquake,3.39, Puerto Rico,-67.7316,18.1663,51.0,2021-01-01 08:24:20.500000+00:00,1
1609493123820,"5 km WSW of La Parguera, Puerto Rico",reviewed,0,171,earthquake,3.33, Puerto Rico,-67.092,17.9475,10.0,2021-01-01 09:25:23.820000+00:00,1
1609495477590,Kermadec Islands region,reviewed,0,312,earthquake,4.5,Kermadec Islands region,-177.1883,-31.0417,10.72,2021-01-01 10:04:37.590000+00:00,0
1609498648910,"1 km S of Guánica, Puerto Rico",reviewed,0,192,earthquake,3.51, Puerto Rico,-66.908,17.9591,9.0,2021-01-01 10:57:28.910000+00:00,1
1609502147226,"204 km WSW of Adak, Alaska",reviewed,0,259,earthquake,4.1, Alaska,-179.5022,51.4473,35.0,2021-01-01 11:55:47.226000+00:00,2
1609508549765,"17 km N of Stanton, Texas",reviewed,0,180,earthquake,3.4, Texas,-101.7862,32.2906,5.0,2021-01-01 13:42:29.765000+00:00,1
1609519906340,"1 km SE of Yauco, Puerto Rico",reviewed,0,156,earthquake,3.18, Puerto Rico,-66.8388,18.022,15.0,2021-01-01 16:51:46.340000+00:00,1
1609520076833,"155 km SSE of Perryville, Alaska",reviewed,0,199,earthquake,3.6, Alaska,-158.0119,54.6779,15.4,2021-01-01 16:54:36.833000+00:00,1
1609526831806,"45 km NNW of Finschhafen, Papua New Guinea",reviewed,0,246,earthquake,4.0, Papua New Guinea,147.6701,-6.1821,63.75,2021-01-01 18:47:11.806000+00:00,2
1609532676402,"northern Qinghai, China",reviewed,0,312,earthquake,4.5, China,94.6733,37.024,16.47,2021-01-01 20:24:36.402000+00:00,0
1609539091133,"66 km S of Puerto San José, Guatemala",reviewed,0,355,earthquake,4.8, Guatemala,-90.8461,13.3252,35.0,2021-01-01 22:11:31.133000+00:00,2
1609539608530,"134 km E of Tadine, New Caledonia",reviewed,0,298,earthquake,4.4, New Caledonia,169.1711,-21.4224,10.0,2021-01-01 22:20:08.530000+00:00,0
1609541341341,"46 km S of Iztapa, Guatemala",reviewed,0,298,earthquake,4.4, Guatemala,-90.6981,13.5123,50.29,2021-01-01 22:49:01.341000+00:00,2
1609548137918,"49 km SSW of La Gomera, Guatemala",reviewed,0,285,earthquake,4.3, Guatemala,-91.2274,13.667,35.0,2021-01-02 00:42:17.918000+00:00,2
1609548300272,"217 km SSE of Katsuura, Japan",reviewed,0,326,earthquake,4.6, Japan,141.4589,33.4333,10.0,2021-01-02 00:45:00.272000+00:00,0
1609548346013,"110 km NNE of Hihifo, Tonga",reviewed,0,326,earthquake,4.6, Tonga,-173.291,-15.0828,47.1,2021-01-02 00:45:46.013000+00:00,2
1609549551643,"5 km SW of Gedzhukh, Russia",reviewed,0,403,earthquake,5.1, Russia,48.0137,42.0975,10.0,2021-01-02 01:05:51.643000+00:00,0
1609554325540,"15 km N of Néon Karlovásion, Greece",reviewed,0,259,earthquake,4.1, Greece,26.6869,37.9324,23.19,2021-01-02 02:25:25.540000+00:00,0
1609565357919,"5 km SE of Socorro, Philippines",reviewed,0,284,earthquake,4.3, Philippines,125.9985,9.5829,61.49,2021-01-02 05:29:17.919000+00:00,2
1609571507470,"24 km W of Rincón, Puerto Rico",reviewed,0,151,earthquake,3.13, Puerto Rico,-67.4801,18.379,22.0,2021-01-02 07:11:47.470000+00:00,1
1609576461523,"188 km SSE of Kokopo, Papua New Guinea",reviewed,0,400,earthquake,5.1, Papua New Guinea,153.0922,-5.83,33.68,2021-01-02 08:34:21.523000+00:00,2
1609576977707,"266 km ESE of Chiniak, Alaska",reviewed,0,148,earthquake,3.1, Alaska,-148.4717,56.4203,10.0,2021-01-02 08:42:57.707000+00:00,1
1609578075780,"53 km W of Stella, Puerto Rico",reviewed,0,154,earthquake,3.16, Puerto Rico,-67.7445,18.2545,64.0,2021-01-02 09:01:15.780000+00:00,2
1609579416888,south of Africa,reviewed,0,385,earthquake,5.0,south of Africa,20.9425,-52.9973,10.0,2021-01-02 09:23:36.888000+00:00,0
1609579607058,"162 km SSW of Port-Vila, Vanuatu",reviewed,0,312,earthquake,4.5, Vanuatu,167.6144,-19.0393,10.0,2021-01-02 09:26:47.058000+00:00,0
1609580053621,"153 km SSW of Port-Vila, Vanuatu",reviewed,0,312,earthquake,4.5, Vanuatu,167.6305,-18.963,10.0,2021-01-02 09:34:13.621000+00:00,0
1609580618798,south of Africa,reviewed,0,284,earthquake,4.3,south of Africa,21.1548,-52.8326,10.0,2021-01-02 09:43:38.798000+00:00,0
1609581158813,south of Africa,reviewed,0,312,earthquake,4.5,south of Africa,21.1438,-52.7852,10.0,2021-01-02 09:52:38.813000+00:00,0
1609581797867,south of Africa,reviewed,0,340,earthquake,4.7,south of Africa,21.3616,-52.7071,10.0,2021-01-02 10:03:17.867000+00:00,0
1609581850610,"2 km ENE of Maria Antonia, Puerto Rico",reviewed,0,157,earthquake,3.19, Puerto Rico,-66.8666,17.9835,13.0,2021-01-02 10:04:10.610000+00:00,1
1609583261716,"61 km E of Nikolski, Alaska",reviewed,0,158,earthquake,3.2, Alaska,-167.9508,52.8812,28.84,2021-01-02 10:27:41.716000+00:00,1
1609584785240,"120 km SSE of Sand Point, Alaska",reviewed,0,148,earthquake,3.1, Alaska,-159.6978,54.3596,25.34,2021-01-02 10:53:05.240000+00:00,1
1609588200313,Kermadec Islands region,reviewed,0,312,earthquake,4.5,Kermadec Islands region,-176.0976,-27.7994,10.0,2021-01-02 11:50:00.313000+00:00,0
1609588661429,south of Africa,reviewed,0,326,earthquake,4.6,south of Africa,20.3992,-52.616,10.0,2021-01-02 11:57:41.429000+00:00,0
1609589346835,south of Africa,reviewed,0,326,earthquake,4.6,south of Africa,21.3568,-52.9402,10.0,2021-01-02 12:09:06.835000+00:00,0
1609589404370,"18km ESE of Lone Pine, CA",reviewed,0,171,earthquake,3.29,California,-117.8978333,36.5005,8.08,2021-01-02 12:10:04.370000+00:00,1
1609594006551,"72 km E of Hualien City, Taiwan",reviewed,0,312,earthquake,4.5, Taiwan,122.3141,24.0311,23.93,2021-01-02 13:26:46.551000+00:00,0
1609594563744,"62 km SE of ?funato, Japan",reviewed,0,246,earthquake,4.0, Japan,142.3096,38.7475,53.82,2021-01-02 13:36:03.744000+00:00,2
1609595965215,"110 km SSW of Luwuk, Indonesia",reviewed,0,298,earthquake,4.4, Indonesia,122.549,-1.9263,10.0,2021-01-02 13:59:25.215000+00:00,0
1609598196420,"11km NW of Pinnacles, CA",reviewed,0,162,earthquake,3.09,California,-121.2156667,36.6083333,6.16,2021-01-02 14:36:36.420000+00:00,1
1609598543790,"10km NW of Pinnacles, CA",reviewed,1,847,earthquake,4.32,California,-121.2125,36.6085,6.32,2021-01-02 14:42:23.790000+00:00,0
1609604672442,"106 km SSE of Sand Point, Alaska",reviewed,0,188,earthquake,3.5, Alaska,-159.6337,54.52,24.8,2021-01-02 16:24:32.442000+00:00,1
1609605395214,"121 km SE of Kokopo, Papua New Guinea",reviewed,0,326,earthquake,4.6, Papua New Guinea,153.0458,-5.1172,47.95,2021-01-02 16:36:35.214000+00:00,2
1609607002666,"78 km S of Puerto San José, Guatemala",reviewed,0,284,earthquake,4.3, Guatemala,-90.9286,13.2278,48.42,2021-01-02 17:03:22.666000+00:00,2
1609608786140,"81 km N of Charlotte Amalie, U.S. Virgin Islands",reviewed,0,211,earthquake,3.7, U.S. Virgin Islands,-64.9058,19.0743,34.0,2021-01-02 17:33:06.140000+00:00,1
1609610442572,"1 km NNW of Petrinja, Croatia",reviewed,0,179,earthquake,3.4, Croatia,16.2853,45.4512,11.51,2021-01-02 18:00:42.572000+00:00,1
1609613128711,Owen Fracture Zone region,reviewed,0,312,earthquake,4.5,Owen Fracture Zone region,56.2762,14.5873,10.0,2021-01-02 18:45:28.711000+00:00,0
1609613352710,"107 km SSW of Puerto San José, Guatemala",reviewed,0,298,earthquake,4.4, Guatemala,-91.08,12.986,10.0,2021-01-02 18:49:12.710000+00:00,0
1609619349618,"76 km ENE of M?n?b, Iran",reviewed,0,284,earthquake,4.3, Iran,57.8413,27.2693,10.0,2021-01-02 20:29:09.618000+00:00,0
1609619536369,"130 km SSE of Perryville, Alaska",reviewed,0,168,earthquake,3.3, Alaska,-158.0598,54.9113,12.9,2021-01-02 20:32:16.369000+00:00,1
1609619757926,Palau region,reviewed,0,416,earthquake,5.2,Palau region,138.0207,4.3322,15.09,2021-01-02 20:35:57.926000+00:00,0
1609624303907,"244 km W of Bandon, Oregon",reviewed,0,178,earthquake,3.4, Oregon,-127.3976,43.4111,10.0,2021-01-02 21:51:43.907000+00:00,1
1609625219356,"15 km NNE of Dagestanskiye Ogni, Russia",reviewed,0,299,earthquake,4.4, Russia,48.2809,42.2426,10.0,2021-01-02 22:06:59.356000+00:00,0
1609629306228,"77 km S of Puerto San José, Guatemala",reviewed,0,271,earthquake,4.2, Guatemala,-90.9215,13.2331,19.73,2021-01-02 23:15:06.228000+00:00,0
1609629678144,South Shetland Islands,reviewed,0,416,earthquake,5.2,South Shetland Islands,-58.3091,-62.3706,10.0,2021-01-02 23:21:18.144000+00:00,0
1609638958430,"87 km WNW of The Bottom, Bonaire, Saint Eustatius and Saba ",reviewed,0,192,earthquake,3.53, Bonaire,-63.9581,18.0363,32.0,2021-01-03 01:55:58.430000+00:00,1
1609642245982,"94 km ESE of Hualien City, Taiwan",reviewed,0,259,earthquake,4.1, Taiwan,122.494,23.7217,10.0,2021-01-03 02:50:45.982000+00:00,0
1609643632435,"10 km NE of Cooper Landing, Alaska",reviewed,0,192,earthquake,3.5, Alaska,-149.6741,60.5492,36.7,2021-01-03 03:13:52.435000+00:00,1
1609644102646,southern Mid-Atlantic Ridge,reviewed,0,400,earthquake,5.1,southern Mid-Atlantic Ridge,-4.908,-52.1755,10.0,2021-01-03 03:21:42.646000+00:00,0
1609644347340,"10 km W of Champerico, Guatemala",reviewed,0,285,earthquake,4.3, Guatemala,-92.0056,14.2762,62.61,2021-01-03 03:25:47.340000+00:00,2
1609644437347,southern Mid-Atlantic Ridge,reviewed,0,400,earthquake,5.1,southern Mid-Atlantic Ridge,-4.9906,-52.1475,10.0,2021-01-03 03:27:17.347000+00:00,0
1609645869190,"13km NW of Pinnacles, CA",reviewed,0,141,earthquake,3.02,California,-121.2308333,36.6215,6.3,2021-01-03 03:51:09.190000+00:00,1
1609649869272,"127 km ESE of Neiafu, Tonga",reviewed,0,400,earthquake,5.1, Tonga,-172.847,-19.056,10.0,2021-01-03 04:57:49.272000+00:00,0
1609651319970,"10km NW of Pinnacles, CA",reviewed,0,184,earthquake,3.36,California,-121.2076667,36.6005,5.98,2021-01-03 05:21:59.970000+00:00,1
1609651455656,"83 km SE of Katsuren-haebaru, Japan",reviewed,0,371,earthquake,4.9, Japan,128.5562,25.9056,10.0,2021-01-03 05:24:15.656000+00:00,0
1609651520355,central Mid-Atlantic Ridge,reviewed,0,416,earthquake,5.2,central Mid-Atlantic Ridge,-28.181,1.0057,10.0,2021-01-03 05:25:20.355000+00:00,0
1609651805889,"130 km SSE of Sand Point, Alaska",reviewed,0,148,earthquake,3.1, Alaska,-159.6918,54.2631,26.86,2021-01-03 05:30:05.889000+00:00,1
1609652127899,"10 km NNW of Georgetown, Idaho",reviewed,0,347,earthquake,4.2, Idaho,-111.4286,42.5663,5.33,2021-01-03 05:35:27.899000+00:00,0
1609653259820,Puerto Rico region,reviewed,0,142,earthquake,3.04,Puerto Rico region,-66.6035,17.884,38.0,2021-01-03 05:54:19.820000+00:00,1
1609653861469,"127 km SSE of Sand Point, Alaska",reviewed,0,168,earthquake,3.3, Alaska,-159.8031,54.2619,20.36,2021-01-03 06:04:21.469000+00:00,1
1609654303698,"85 km SE of Katsuren-haebaru, Japan",reviewed,0,312,earthquake,4.5, Japan,128.5092,25.817,10.0,2021-01-03 06:11:43.698000+00:00,0
1609656149940,"84 km SE of Katsuren-haebaru, Japan",reviewed,0,355,earthquake,4.8, Japan,128.5499,25.88,10.0,2021-01-03 06:42:29.940000+00:00,0
1609660690309,"19 km ENE of Stryker, Montana",reviewed,0,158,earthquake,3.2, Montana,-114.5506,48.7652,13.54,2021-01-03 07:58:10.309000+00:00,1
1609661791186,"209 km ENE of Turpan, China",reviewed,0,259,earthquake,4.1, China,91.3826,43.9364,14.89,2021-01-03 08:16:31.186000+00:00,0
1609663242686,"147 km SSE of Sand Point, Alaska",reviewed,0,158,earthquake,3.2, Alaska,-159.6581,54.1053,10.0,2021-01-03 08:40:42.686000+00:00,1
1609663503419,"11 km NNE of Larsen Bay, Alaska",reviewed,1,401,earthquake,4.9, Alaska,-153.9182,57.6374,59.6,2021-01-03 08:45:03.419000+00:00,2
1609667905784,"34 km NNW of Beaver, Alaska",reviewed,0,178,earthquake,3.4, Alaska,-147.8226,66.6207,10.1,2021-01-03 09:58:25.784000+00:00,1
1609668865206,"75 km WSW of Pimentel, Peru",reviewed,0,312,earthquake,4.5, Peru,-80.5385,-7.1469,41.55,2021-01-03 10:14:25.206000+00:00,2
1609674779498,"70 km S of Puerto San José, Guatemala",reviewed,0,354,earthquake,4.8, Guatemala,-90.8542,13.2919,47.75,2021-01-03 11:52:59.498000+00:00,2
1609677528915,"230 km WSW of Adak, Alaska",reviewed,1,573,earthquake,6.1, Alaska,-179.793,51.2199,21.0,2021-01-03 12:38:48.915000+00:00,0
1609677929909,"65 km E of Baculin, Philippines",reviewed,0,340,earthquake,4.7, Philippines,127.1691,7.3832,10.0,2021-01-03 12:45:29.909000+00:00,0
1609678570301,"251 km WSW of Adak, Alaska",reviewed,0,211,earthquake,3.7, Alaska,-179.8678,50.8721,10.0,2021-01-03 12:56:10.301000+00:00,1
1609678661780,"94 km SSW of Puerto San José, Guatemala",reviewed,0,271,earthquake,4.2, Guatemala,-91.0652,13.1116,22.24,2021-01-03 12:57:41.780000+00:00,0
1609678734232,"124 km SSE of Sand Point, Alaska",reviewed,0,168,earthquake,3.3, Alaska,-159.684,54.3258,30.1,2021-01-03 12:58:54.232000+00:00,1
1609679633664,"242 km WSW of Adak, Alaska",reviewed,0,234,earthquake,3.9, Alaska,-179.8928,51.083,35.0,2021-01-03 13:13:53.664000+00:00,2
1609680004331,"236 km WSW of Adak, Alaska",reviewed,0,246,earthquake,4.0, Alaska,-179.8978,51.2431,30.88,2021-01-03 13:20:04.331000+00:00,2
1609680021441,"31 km SSW of Ovalle, Chile",reviewed,0,312,earthquake,4.5, Chile,-71.3552,-30.8511,37.61,2021-01-03 13:20:21.441000+00:00,2
1609680141983,"64 km S of Puerto San José, Guatemala",reviewed,0,340,earthquake,4.7, Guatemala,-90.8009,13.3416,41.94,2021-01-03 13:22:21.983000+00:00,2
1609681538300,"230 km W of Adak, Alaska",reviewed,0,211,earthquake,3.7, Alaska,-179.9662,51.7266,5.7,2021-01-03 13:45:38.300000+00:00,1
1609683455631,"5 km SE of Do?anyol, Turkey",reviewed,0,298,earthquake,4.4, Turkey,39.0769,38.2698,5.0,2021-01-03 14:17:35.631000+00:00,0
1609686735374,Scotia Sea,reviewed,0,298,earthquake,4.4,Scotia Sea,-36.2902,-61.0788,10.0,2021-01-03 15:12:15.374000+00:00,0
1609700243324,western Indian-Antarctic Ridge,reviewed,0,312,earthquake,4.5,western Indian-Antarctic Ridge,131.5256,-50.8469,10.0,2021-01-03 18:57:23.324000+00:00,0
1609701237923,"138 km NNW of Kendari, Indonesia",reviewed,0,385,earthquake,5.0, Indonesia,122.2402,-2.7566,10.0,2021-01-03 19:13:57.923000+00:00,0
1609702078992,"99 km NNE of B?fq, Iran",reviewed,0,284,earthquake,4.3, Iran,55.6543,32.4789,10.0,2021-01-03 19:27:58.992000+00:00,0
1609708533994,southeast of Easter Island,reviewed,0,369,earthquake,4.9,southeast of Easter Island,-104.8453,-35.3049,10.0,2021-01-03 21:15:33.994000+00:00,0
1609709219384,Kermadec Islands region,reviewed,0,312,earthquake,4.5,Kermadec Islands region,-178.2952,-31.9948,35.0,2021-01-03 21:26:59.384000+00:00,2
1609709603707,"33 km E of Xunchang, China",reviewed,0,271,earthquake,4.2, China,105.0555,28.4594,10.0,2021-01-03 21:33:23.707000+00:00,0
1609710815455,"142 km NNW of Kendari, Indonesia",reviewed,0,312,earthquake,4.5, Indonesia,122.1901,-2.7349,10.0,2021-01-03 21:53:35.455000+00:00,0
1609714286265,"231 km WSW of Adak, Alaska",reviewed,0,246,earthquake,4.0, Alaska,-179.7852,51.1951,35.0,2021-01-03 22:51:26.265000+00:00,2
1609718710096,"22 km SE of Torrijos, Philippines",reviewed,0,312,earthquake,4.5, Philippines,122.2262,13.1674,10.0,2021-01-04 00:05:10.096000+00:00,0
1609722530325,"14 km WNW of Victoria, Chile",reviewed,0,246,earthquake,4.0, Chile,-72.4902,-38.1857,62.42,2021-01-04 01:08:50.325000+00:00,2
1609729109611,"4 km N of Luocheng, China",reviewed,0,385,earthquake,5.0, China,104.0285,29.4293,10.0,2021-01-04 02:58:29.611000+00:00,0
1609731625276,"39 km W of Puerto Madero, Mexico",reviewed,0,259,earthquake,4.1, Mexico,-92.7856,14.6527,48.77,2021-01-04 03:40:25.276000+00:00,2
1609734141690,"89 km NW of San Antonio, Puerto Rico",reviewed,0,154,earthquake,3.16, Puerto Rico,-67.6515,19.1023,25.0,2021-01-04 04:22:21.690000+00:00,1
1609742399950,South Sandwich Islands region,reviewed,0,340,earthquake,4.7,South Sandwich Islands region,-27.0075,-55.5145,10.0,2021-01-04 06:39:59.950000+00:00,0
1609742994424,"3 km SW of Petrinja, Croatia",reviewed,0,300,earthquake,4.4, Croatia,16.2628,45.4155,10.0,2021-01-04 06:49:54.424000+00:00,0
1609749467429,"191 km N of Siglufjörður, Iceland",reviewed,0,340,earthquake,4.7, Iceland,-19.1441,67.8659,10.0,2021-01-04 08:37:47.429000+00:00,0
1609750437607,central Mid-Atlantic Ridge,reviewed,0,369,earthquake,4.9,central Mid-Atlantic Ridge,-38.7242,8.0284,10.0,2021-01-04 08:53:57.607000+00:00,0
1609753484800,"63 km N of Hatillo, Puerto Rico",reviewed,0,156,earthquake,3.18, Puerto Rico,-66.8,19.06,45.0,2021-01-04 09:44:44.800000+00:00,1
1609760988279,"96 km SSW of Sand Point, Alaska",reviewed,0,234,earthquake,3.9, Alaska,-160.8121,54.4923,37.99,2021-01-04 11:49:48.279000+00:00,2
1609771131112,Greenland Sea,reviewed,0,354,earthquake,4.8,Greenland Sea,6.4873,73.1244,10.0,2021-01-04 14:38:51.112000+00:00,0
1609772145721,"5 km N of Tyndall, South Dakota",reviewed,0,167,earthquake,3.1, South Dakota,-97.8633,43.0433,5.0,2021-01-04 14:55:45.721000+00:00,1
1609772790316,"143 km WNW of Corral, Chile",reviewed,0,271,earthquake,4.2, Chile,-74.9122,-39.2948,10.0,2021-01-04 15:06:30.316000+00:00,0
1609778726378,"205 km S of Alo, Wallis and Futuna",reviewed,0,298,earthquake,4.4, Wallis and Futuna,-178.3985,-16.1484,10.0,2021-01-04 16:45:26.378000+00:00,0
1609783494680,"9km SW of Niland, CA",reviewed,0,145,earthquake,3.07,California,-115.5908333,33.185,2.2,2021-01-04 18:04:54.680000+00:00,1
1609783499600,"9km SW of Niland, CA",reviewed,0,246,earthquake,3.95,California,-115.595,33.1851667,2.24,2021-01-04 18:04:59.600000+00:00,1
1609783530460,"9km SW of Niland, CA",reviewed,0,183,earthquake,3.45,California,-115.5928333,33.1935,2.68,2021-01-04 18:05:30.460000+00:00,1
1609784186440,"10km SW of Niland, CA",reviewed,0,179,earthquake,3.41,California,-115.6018333,33.1808333,2.23,2021-01-04 18:16:26.440000+00:00,1
1609786680380,"6 km S of Indios, Puerto Rico",reviewed,0,194,earthquake,3.53, Puerto Rico,-66.8098,17.9333,8.0,2021-01-04 18:58:00.380000+00:00,1
1609786722340,"5 km SSE of Indios, Puerto Rico",reviewed,0,167,earthquake,3.29, Puerto Rico,-66.8083,17.9453,11.0,2021-01-04 18:58:42.340000+00:00,1
1609787307490,"5 km SSE of Indios, Puerto Rico",reviewed,0,224,earthquake,3.75, Puerto Rico,-66.8076,17.9431,10.0,2021-01-04 19:08:27.490000+00:00,1
1609789493139,"66 km WNW of Villa Yapacaní, Bolivia",reviewed,0,312,earthquake,4.5, Bolivia,-64.431,-17.2356,59.85,2021-01-04 19:44:53.139000+00:00,2
1609803403230,"21 km SSE of Lamboglia, Puerto Rico",reviewed,0,147,earthquake,3.08, Puerto Rico,-65.9381,17.796,5.0,2021-01-04 23:36:43.230000+00:00,1
1609803983530,"122 km NNW of San Antonio, Puerto Rico",reviewed,0,220,earthquake,3.78, Puerto Rico,-67.6508,19.4618,26.0,2021-01-04 23:46:23.530000+00:00,1
1609803998102,off the coast of Central America,reviewed,0,312,earthquake,4.5,off the coast of Central America,-84.1508,4.4202,10.0,2021-01-04 23:46:38.102000+00:00,0
